quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
40,09/2018,12/2018,unweighted,46669.45390000005,37937.62109999994,-0.20714659767933696,30-60
40,09/2018,12/2018,unweighted,27303.184700000034,21744.4724,-0.22764376835855415,15-30
40,09/2018,12/2018,unweighted,13552.140500000001,10833.261700000005,-0.22392331699136214,5-15
40,09/2018,12/2018,unweighted,1966.4467000000016,1397.4514499999998,-0.34157802369512513,0-5
quarter,start date,end date,portfolio type,start value,end value,log return,portfolio range
1,12/2008,03/2009,weighted,2145450.1727517517,1925533.5692137221,-0.10814629296181266,100+
1,12/2008,03/2009,weighted,6739.824212903482,5914.639956942635,-0.13060321732883828,60-100
1,12/2008,03/2009,weighted,23505.876007809682,20352.24476592288,-0.14405921906722874,30-60
1,12/2008,03/2009,weighted,23952.23150225423,21008.131279210895,-0.13115192633700445,15-30
1,12/2008,03/2009,weighted,19170.507374052486,17250.663675088028,-0.10552240713861494,5-15
1,12/2008,03/2009,weighted,5717.147564645609,5127.8578497899025,-0.10878200466684973,0-5
2,03/2009,06/2009,weighted,2231942.8575161584,2316901.469098716,0.03735827662037039,100+
2,03/2009,06/2009,weighted,4164.378994558338,4732.3385155334345,0.12785231751930937,60-100
2,03/2009,06/2009,weighted,18309.218639587183,20344.96425551405,0.10542874072998742,30-60
2,03/2009,06/2009,weighted,22368.539712644706,26261.392298434246,0.16044439266701538,15-30
2,03/2009,06/2009,weighted,19218.93380634999,23758.492097197242,0.21204409968914995,5-15
2,03/2009,06/2009,weighted,6025.372256450842,8826.594325715632,0.3817899838689023,0-5
3,06/2009,09/2009,weighted,3169667.4769731076,3557172.9453627868,0.1153394273820787,100+
3,06/2009,09/2009,weighted,6522.084492402976,7255.596464919346,0.10657906501375969,60-100
3,06/2009,09/2009,weighted,25069.785703350568,27971.368161496517,0.10951805713551366,30-60
3,06/2009,09/2009,weighted,25678.383181343786,29801.374951578488,0.14890501515005106,15-30
3,06/2009,09/2009,weighted,20201.541955117107,23608.948581540713,0.15586688144041894,5-15
3,06/2009,09/2009,weighted,4684.443720453552,5999.930044579099,0.24750063757852914,0-5
4,09/2009,12/2009,weighted,3895099.159710275,3825690.38141654,-0.017980194338713673,100+
4,09/2009,12/2009,weighted,10361.402934813337,10718.293271163107,0.03386428710650691,60-100
4,09/2009,12/2009,weighted,32643.35923005548,34032.2966432054,0.041668532628458266,30-60
4,09/2009,12/2009,weighted,28279.726441652,29083.25103741363,0.028017274978617834,15-30
4,09/2009,12/2009,weighted,19562.501722924324,20007.238836472337,0.022479593519291186,5-15
4,09/2009,12/2009,weighted,3952.319482740985,3819.350751781866,-0.034222169485650156,0-5
5,12/2009,03/2010,weighted,4548995.487784952,5579103.666349238,0.2041216935458099,100+
5,12/2009,03/2010,weighted,12681.863168307162,12738.000508684945,0.004416816105146992,60-100
5,12/2009,03/2010,weighted,35427.07494404786,36629.34872504535,0.03337344007358212,30-60
5,12/2009,03/2010,weighted,26984.39490762554,28389.454599176388,0.05075902674841437,15-30
5,12/2009,03/2010,weighted,19258.69440284075,20621.53660277791,0.06837337977289337,5-15
5,12/2009,03/2010,weighted,3932.9524908308213,4461.617094695751,0.12612086385207277,0-5
6,03/2010,06/2010,weighted,6568151.26144646,6470772.46005165,-0.014936909517025754,100+
6,03/2010,06/2010,weighted,14986.459600697995,13108.297329115232,-0.13390168653636358,60-100
6,03/2010,06/2010,weighted,37256.202235677905,33429.306746364666,-0.10838547119011999,30-60
6,03/2010,06/2010,weighted,28790.015617488803,25793.76696584301,-0.10989577481751844,15-30
6,03/2010,06/2010,weighted,19256.29237052754,17222.669893822782,-0.1116113506323213,5-15
6,03/2010,06/2010,weighted,3376.1878398467666,3020.9405737945262,-0.11117898377774793,0-5
7,06/2010,09/2010,weighted,4286497.962479436,4447246.104616517,0.03681497791225219,100+
7,06/2010,09/2010,weighted,12410.425083954162,13698.85952576713,0.0987757311042774,60-100
7,06/2010,09/2010,weighted,32353.053440337604,35591.29349341404,0.09539263901704764,30-60
7,06/2010,09/2010,weighted,27464.15787477468,30349.734725033166,0.09990597237623966,15-30
7,06/2010,09/2010,weighted,20352.64849129975,21828.810691661456,0.07001963820963297,5-15
7,06/2010,09/2010,weighted,3756.8409779316135,4026.0550940332396,0.06920857286135806,0-5
8,09/2010,12/2010,weighted,6769447.460389355,6549389.605928618,-0.03304761232805831,100+
8,09/2010,12/2010,weighted,16340.77623506575,17958.21881516993,0.09438428934447707,60-100
8,09/2010,12/2010,weighted,37449.83012941437,41070.62064636081,0.09229086574681844,30-60
8,09/2010,12/2010,weighted,28469.98700650198,31131.510845536322,0.08937007180410639,15-30
8,09/2010,12/2010,weighted,18603.133102238353,20052.576914009154,0.07502765699294933,5-15
8,09/2010,12/2010,weighted,3510.9456987440867,3956.5034700188003,0.11947524207957194,0-5
9,12/2010,03/2011,weighted,8431051.43650907,8770554.406228138,0.039478530802888656,100+
9,12/2010,03/2011,weighted,22171.161723559024,23202.99621056925,0.045488994383646286,60-100
9,12/2010,03/2011,weighted,41871.013780670975,44165.63162172513,0.05335312918710322,30-60
9,12/2010,03/2011,weighted,28314.784565174778,29432.96100570617,0.03873107796743014,15-30
9,12/2010,03/2011,weighted,18468.383411728075,18831.6861883364,0.01948062133493167,5-15
9,12/2010,03/2011,weighted,3066.299084895845,3228.664661753594,0.05159730975853094,0-5
10,03/2011,06/2011,weighted,10317596.235677712,9560495.343674965,-0.0762112701102744,100+
10,03/2011,06/2011,weighted,25579.42229721185,24592.641932730035,-0.039340921965772324,60-100
10,03/2011,06/2011,weighted,44720.89971216195,43642.21637685776,-0.0244160000190643,30-60
10,03/2011,06/2011,weighted,26961.6880409629,25816.627021451273,-0.04339815433001526,15-30
10,03/2011,06/2011,weighted,18083.648086181693,17491.58405639721,-0.033288255096810104,5-15
